brand,model_name,price,price_num,head_size,head_size_in2,length,length_in,weight,weight_g,tension,tension_low_lbs,tension_high_lbs,tension_mid_lbs,balance,balance_pts,beam_width,beam_mm_avg,composition,flex,flex_ra,grip_type,power_lv,power_lv_num,string_pa,swing_sp,swing_sp_num,swing_we,swing_weight
Dunlop,CX 200,$219.99,219.99,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.4 oz / 323 g Unstrung — 10.8 oz / 305 g,323.0,45-60 Pounds,45.0,60.0,52.5,6 Pts Head Light,-6.0,21.5mm,21.5,Sonic Core with Infinergy,64,64.0,Dunlop Synthetic,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,326,326.0
Head,Radical Pro,$239.95,239.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.7 oz / 331 g Unstrung — 11.1 oz / 315 g,331.0,48-57 Pounds,48.0,57.0,52.5,6 Pts Head Light,-6.0,20/21.5/21mm,21.0,Graphene 360+ / Graphite,64,64.0,Head Hydrosob Pro,Low,1.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,329,329.0
Tecnifibre,T-Fight 280,$209.95,209.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.5 oz / 297 g Unstrung — 9.9 oz / 280 g,297.0,49-55 Pounds,49.0,55.0,52.0,3 Pts Head Light,-3.0,23mm,23.0,Dynacore XTC / Graphite,70,70.0,Xtra Feel Blazon,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,313,313.0
Tecnifibre,T-Fight 305,$229.95,229.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.4 oz / 322 g Unstrung — 10.8 oz / 305 g,322.0,49-55 Pounds,49.0,55.0,52.0,3 Pts Head Light,-3.0,22.5mm,22.5,Dynacore XTC / Graphite,68,68.0,Xtra Feel Blazon,Low,1.0,"18 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,331,331.0
Tecnifibre,T-Fight 300,$219.95,219.95,98 sq. in MP,98.0,27 inches,27.0,Strung — 11.2 oz / 317 g Unstrung — 10.6 oz / 300 g,317.0,49-55 Pounds,49.0,55.0,52.0,4 Pts Head Light,-4.0,22.5mm,22.5,Dynacore XTC / Graphite,67,67.0,Xtra Feel Blazon,Low,1.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,316,316.0
Tecnifibre,T-Fight 295,$209.95,209.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.0 oz / 312 g Unstrung — 10.4 oz / 295 g,312.0,49-55 Pounds,49.0,55.0,52.0,3 Pts Head Light,-3.0,23mm,23.0,Dynacore XTC / Graphite,72,72.0,Xtra Feel Blazon,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,318,318.0
Wilson,Ultra 100UL,$129,129.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 9.8 oz / 278 g Unstrung — 9.2 oz / 261 g,278.0,50-60 Pounds,50.0,60.0,55.0,2 Pts Head Light,-2.0,23/25/23mm,23.0,High Performance Carbon Fiber,66,66.0,Sublime,Medium,2.0,"18 Mains / 16 CrossesMains Skip: 9T, 9HTwo PieceShared Holes: 7T, 8T","Medium, Moderate Swing",2.0,301,301.0
Wilson,Ultra 100UL,$139,139.0,100 sq. in MP,100.0,27 inches,27.0,Strung — 10.3 oz / 292 g Unstrung — 9.8 oz / 278 g,292.0,50-60 Pounds,50.0,60.0,55.0,3 Pts Head Light,-3.0,23/26.5/22.5mm,22.5,Carbon Fiber,69,69.0,Wilson Sublime,Medium,2.0,"16 Mains / 19 CrossesMains Skip: 8T, 8HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,300,300.0
Head,Head 104 (285g),$199.95,199.95,104 sq. in MP,104.0,27 inches,27.0,Strung — 10.7 oz / 303 g Unstrung — 10.1 oz / 285 g,303.0,48-57 Pounds,48.0,57.0,52.5,3 Pts Head Light,-3.0,24mm,24.0,Graphene 360+ / Graphite,60,60.0,Head Hydrosorb Pro,Medium,2.0,"16 Mains / 20 CrossesMains Skip: 7T, 9T, 7H, 9HTwo PieceNo Shared Holes","Medium, Moderate Swing",2.0,310,310.0
Head,Head 100 (315g),$239.95,239.95,100 sq. in MP,100.0,27 inches,27.0,Strung — 11.7 oz / 331 g Unstrung — 11.1 oz / 315 g,331.0,48-57 Pounds,48.0,57.0,52.5,6 Pts Head Light,-6.0,20mm,20.0,Graphene 360+ / Graphite,62,62.0,Head Hydrosorb Pro,Low,1.0,"18 Mains / 20 CrossesMains Skip: 8T, 8H, 10T, 10HTwo PieceNo Shared Holes","Fast, Long Swing",3.0,330,330.0
